,Meaning,Spanish,Portuguese,Notes
65,broom,aulaga < Ar. algawláqa,"vassoura, giesta, carqueja < Lat. verrere, < Lat. genista, < Maybe Lat. quercus",
66,"pants, knickers",bragas < Lat. braca < Celtic bracae,cuecas < Lat. culus + suffix 'ecas',
67,(bed) sheet,sábana < Lat. sabăna,lençol < Lat. linteolum,
68,basketball,baloncesto < Frankish balla + Lat. cista,basquetebol < Eng. basketball,
69,reporter,"periodista, periodicista < periódico+ suffix 'ista'",repórter < Eng. reporter < Medieval Fr. reporteur,Spanish also has reportero
70,ricochet,rebote < Frankish + Lat. prefix boter,ricochete < Fr. ricochet,
71,"riff-raff, mob",chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha,
72,cashew,anacardo < Lat. anacardium,caju < Tupi aka'yu,
73,mushroom,"seta < Uncertain origin or hongo'""",cogumelo < Lat. cucumellum < cucuma,
74,oleander,adelfa < Ar. دفلى diflà,"aloendro, loendro < Lat. lorandrum",
75,pumpkin,calabaza < Pre-Roman,abóbora < Lat. peporis,Port. cabaça means 'calabash
76,squid,calamar < Lat. calamarius,lula < Lat. lura,Port. also has calamar
77,date,fecha < Lat. facta,data < Lat. data,
78,"elsewhere, somewhere, nowhere","en otro lugar < Lat. in alter localis, en alguna parte < Lat. in aliquis unos pars, en ningún lugar < Lat. in nec unus localis","alhures < Provençal alhors, algures < Lat. + Provençal aliquod + hors, nenhures < Lat. + Provençal nec + hors",
79,nobody,nadie < Lat. nati < natus,ninguém < Lat. nec + quem,
80,lawn,césped < Lat. caespes,"relvado, grama < Lat. relevare, < Lat. gramen",
81,"holiday, vacation",vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,
82,card,tarjeta < Fr. targe + diminutive suffix eta,"cartão, carta < Gr. χάρτης < Lat. charta",
83,beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
84,retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,
85,remorse,arrepentimiento < Lat. re + paenitere,remorso(s) < Lat. remorsus < remordere,Sp. also has remordimiento and Port. also has arrependimento
86,boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,Brazilian Port. tends to use porta-malas or bagageira
87,glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,
88,thin,delgado < Lat. delicātum,magro < Lat. macrum,"Sp. magro means 'lean', in reference to meat"
89,"surface, peel",superficie < Lat. superficĭes,tona < Celt. tondā/tunna,Port. also has superfície.
90,earring,pendiente < Lat. pendere,brinco < Lat. vinculum,
91,watermelon,sandía < Ar. sindiyyah,melancia < balancia < Lat. bilanx,
92,passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
93,window,ventana < Lat. ventānam,janela < Lat. iānuellam,"Lat. ventānam 'wind opening' < ventus 'wind'. Lat. iānuella is a diminutive of iānua 'door, opening' (the same root as Eng. January and janitor) < the name ianus, the God of gates or doors."
94,counter,ventanilla < Lat. ventānam + suffix 'illa',balcão < Germanic balkōn,Sp. balcón means 'balcony'
95,"to disrupt, to get in the way (of someone/smthg)","molestar, estorbar < Lat. molestus, exturbāre",atrapalhar < Low-Frankish trappa,
96,to erase,borrar < Late Lat. burrāre,apagar < Lat. appācāre,"Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port., e.g. apagar a luz 'to turn off the light')."
97,to forget,olvidar < Lat. oblītāre,esquecer < Lat. excadescere,"Olvidar also exists in Port. (but is far less common). A learned cognate, obliterar, exists in both languages."
98,"to retort, to strike back",contraatacar < Lat. + Ita. contra + attaccare,ripostar < Fr. riposter,
99,"to throw, to add",echar < Lat. iactare,"atirar, pôr < Gothic/Suebian taíran, < Lat. ponere < pono",
100,to smell,oler < Lat. olēre,cheirar < Lat. flagrāre,
101,to snore,roncar < Lat. ronchus < Gr. ῥέγχος,ressonar Prefix + < Lat. re + sonare,Por. uses roncar for very loud snoring in humans or animal sounds i.e. pigs
102,slug,babosa < Lat. baba + osa,lesma < Lat. limax,
103,simple,sencillo < Lat. singulus,simples < Lat. simplex,Sp. also has simple.
104,stage,escenario < Lat. scenarium,palco < Langobardic palk,
105,fear,temor < Lat. timore,receio < Lat. re + celare,Port. also has temor.
106,"harvest, crop",cosecha < Lat. collecta,seara < Celtic seni + aro,"Port. colheita and recolha (both < Lat. collecta) generally refer to the harvest of crops, wine or data collection (i.e. online surveys, personal data)."
107,black,negro < Lat. niger,"preto < Lat. pressus 'compressed, dense'","Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean ""dark"", ""tan"", or ""swarthy"" in a similar fashion to moreno in both Sp. and Port.)."
108,near,cerca < Lat. circa,"perto perh. < Lat. *prettus, alteration of pressus 'compressed'",
109,far,lejos < Lat. laxius,longe < Lat. longe,
110,spark,chispa (onomatopoeic),faísca < Germanic falwiskan,
111,shard,"esquirla < Lat. schidia, < Indo-European skei","lasca < *Proto-Germanic laska, or < *Lat. lesca",
112,toy,juguete < Lat. + Sp. suffix iocus + ete,"brinquedo < Proto-Germanic blinkaną, blīkaną",
113,swine,cochino (onomatopoeic),suíno < Latin suīnus < Proto-Germanic swīną,
114,dew,rocío < Lat. rosidus,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic ūrą + fallaną,
115,pen,bolígrafo < Lat. bulla + Gr. γράφειν,caneta < Lat. cannae + Por. eta,
116,print (evidence),huella < Lat. follare,marca < Germanic marka,
117,windrow,hilera < Lat. fīlum + Sp. ‑era,leira < Proto-Celtic ɸlāryo,
118,yesterday,ayer < Lat. ad heri,ontem < Lat. ad noctem,
119,to stay,quedarse < Lat. quietāre,ficar < Vulg.Lat. *figicāre,
120,hairdresser,"peluquero < peluque < French perruque ""wig""",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. capillus,Port. peruca means 'wig'
121,chair,silla < Lat. sella,"cadeira < Lat. *cathedra, perh. < Proto-Celtic *cathair",
122,"cup, mug",taza < Arabic ṭassa,"chávena < Malay chãvan < Chinese < chã-kvãn, caneca < Germanic can",Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl xīcalli.
123,fork,tenedor < Lat. + Sp. suffix tenēre + dor,garfo < either via Lat. graphium or < Fr. greffe,
124,ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic Iohanna + suffix 'inha',
125,robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish pincio,
126,peach,melocotón < Lat. malum cotonium,pêssego < Lat. [malum] persicum,
127,pillowcase,funda < Lat. fundus,fronha < Celt. srogna,
128,grasshopper,saltamontes < Lat. salto + mons,gafanhoto < Proto-Celtic gabalā,
129,"weasel, skunk",mofeta < Ita. moffetta,doninha < Lat. domina + Port. suffix inha,
130,trousers,pantalón < Fr. pantalon < Ita. pantaleone,calças < Lat. calceu,
131,doorbell,timbre(de la puerta) < Fr. timbre,campainha < Lat. campana,Spanish also has campanilla.
132,thunder,trueno < Lat. tonare,trovão < Lat. turbōnis,
133,noise,ruido < Lat. rugitus,barulho < Gaulish bruge,"Port. also has ruído, particularly for isolated/unexpected sounds or noises"
134,handicapped,minusválido < Lat. minus + valere,Deficiente < Lat. deficiens,
135,development,desarrollo < Lat. + prefix des rotulus,desenvolvimento < Lat. + des involvo,
136,unavoidable,indefectible < Lat. + prefix in defectibĭlis,incontornável < Lat. + prefix in con+tornare,
137,drug addict,drogadicto < Eng. drug addict,"toxicodependente, drogado < Lat. toxicum + dependens, < Fr. drogue",Both Port. and Sp. have 'toxicomania' for drug addiction
138,budget,presupuesto < Lat. pre+sub+positus,"orçamento < Uncertain, Ita. 'orza' or likely Frankish *lurz + Lat. orça[15] + mentum",
