,Research Networking Tool,Data Source / Infeed Functionality,Auto Ingest?,Linked Open Data?,Data Export Types
10,Elsevier's SciVal,Scopus and ScienceDirect usage data,Yes,No,"CSV, PDF, PNG, JPEG"
11,Epernicus Solutions & Epernicus Network,Data entered by applicant,No,Unknown,Unknown
12,ERIM Member Profile System (ERIM MIS),"ERIM MIS database, Erasmus Publication Repository, Oracle portal",Yes,Unknown,Unknown
13,Esploro,"Information is imported from ProQuest‘s Summon Service and from the following sources: PubMed, ORCID, BiBTeX, a RESTful web services API, CSV Data Imports, etc. Also supports methods of manual entry.",Yes,Yes,"RTF, XLS, CSV, PDF, HTML, XML"
14,EUREKA!TM Enhancing Student Research,Information about faculty research interests,No,Unknown,Unknown
15,Expertise @ Maryland,Central university faculty database,Yes,Unknown,Unknown
16,Faculty Profile System,"Manually entered data about the faculty (faculty can enter, a proxy can enter, or designated staff work on maintaining profiles)",No (Faculty status verified by comparison with UC Irvine HR's Academic Personnel system),Unknown,Unknown
17,Faculty Research Information Profile (FRIP),Discontinued. Work on this system ceased; moved on to developing Digital Vita,,,
18,Faculty Scholarly Productivity Index,FSP Database (2007–2008),Yes,Unknown,Unknown
19,GENIUS,InfoEd proprietary grant funding databases,Yes (But only of InfoEd database data. Faculty profile information must be entered manually.),Unknown,Unknown
20,Google,"Institution's directory, news releases, and other institutional websites",Yes,Yes,"Many types, depending on the format of the file retrieved."
21,HUBzero,"Comprehensive portal to support virtual research organizations including modular Web 2.0 tools, modeling and simulation tools, computational integration, identity management, workflow, personal profile management, data management, education",Yes,Yes,Unknown
22,iamResearcher,Unknown,Unknown,Unknown,Unknown
23,iAMscientist,PubMed,Yes,Unknown,Unknown
24,i2iConnect,Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features,Yes,Unknown,Unknown
25,InCites,"Clarivate Analytics Web of Science, ESI, JCR",No,No,"XML, .mbb, XLS"
26,INDURE (Indiana Database for University Research Expertise),"Faculty-entered information about research, faculty home pages",Yes? (Partial?),Unknown,Unknown
27,Lattes Database,Unknown,Unknown,Unknown,Unknown
28,LatticeGrid,"Medical School Faculty database, PubMed, InfoEd, Northwestern's eIRB database",Yes,Yes,"Microsoft Word, Excel, PDF"
29,LinkedIn,Information entered manually by user,No,Unknown,Unknown
30,Life Science Network,PubMed / Information entered manually by user.,No,Yes,CSV (for some modules).
31,Loki,"Local Medline, PubMed, local NSF award database, local NIH RePORTER database, campus directory services",Yes (Partial),Unknown,Unknown
32,Lyterati,"PubMed, Google Scholar, BibTex, Ellucian, PeopleSoft, Workday, RESTful APIs, Template Driven Imports, CSV, Excel, Manual Entry Using Webpages, Faculty CVs",Yes,Unknown,"PDF, MS Word, Excel, CSV, Web Services"
33,McCormick Collaboration Visualization Tool,Clarivate Analytics Web of Science,Yes,Unknown,Unknown
34,MizzouLinks,Information collected from interviews and imported from a few institutional systems,No,Unknown,Unknown
35,MyScienceWork,Information input by user,No,Unknown,Unknown
36,OSU:pro,OSU systems,Yes,Unknown,Unknown
37,Pivot,"Combines editorially created data on funding opportunities and profiles. Profile data sources from publicly available university organization and faculty member/researcher information, user-generated data, PubMed, Agricola, ERIC, and ProQuest citation databases, indexed faculty/researcher webpages.","Yes (for all citation data from sources listed in DataSource. Profiles editorially created, but user-generated profiles also included)",No,Unknown
38,Profiles Research Networking Software,"HR systems, PubMed, NIH RePORTER, commercial sources of publication data, institution-provided and user managed data",Yes,Yes,"XML, RDF, SPARQL"
39,REACH NC Life Science Experts Visualization Tool,"SciVal Experts, RAMSES",Yes,Yes,"RSI, CSV, Web-service API"
40,Research Accelerator,Information entered by individual members,No,Unknown,Unknown
41,ResearcherID,"Manually entered biographical and bibliographical information. Members can search Web of Science, Web of Knowledge, and other online collections, or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.",Yes (Partial; profiles created by administrators are pre-populated for individuals to review.),No,None
42,SciENcv,Information that would normally be found in a curriculum vitae or biosketch,Yes,Unknown,Uses open data exchange standards
43,Symplectic Elements,"Custom import from any internal data source via API, out of the box automatic bibliographic import (subject to subscriptions where appropriate) from arXiv, Cinii, CrossRef, DBLP, Europe PMC, figshare, PubMed, RePeC, Scopus, Web of Science, with more planned. Secure ORCID integration also available. In-feed from HR/Identity systems, internal grant databases. Integration with all major repository technologies.",Yes Through integrated portals like VIVO and Profiles RNS,Yes Source for linked data,"CSV, CERIF XML, MS Word, Excel, PDF (APA6), ATOM/XML web services, EndNote/Reference Manager, BibTex, RDF (Linked Data), various government assessment submission formats"
44,UNIWeb,"Users can enter their CV or bibliographic data manually, or import from the Canadian Common CV, PubMed, Google Scholar, Scopus, Web of Science, Bibtek, Endnote.",Unknown,Unknown,"XML, MS Word, Excel"
45,VIVO,"PubMed, NIH RePORTER, PeopleSoft, internal HR & administrative databases, Scopus (with institutional license), Web of Science (with institutional license); emphasis on verified data sources, many many others being ingested at various institutions.","Yes (manual data entry possible, too)",Yes,"RDF, GraphXML, CSV file"
46,Yaffle,Memorial University systems,Yes,Unknown,Unknown
