18,Autopano Pro / Giga / Server,Kolor,Windows 2000 or later; Mac OS X 10.5 or later with Intel processor; Linux 2.6 or later,Proprietary,Ceased trading September 2018,www.kolor.com,Free trial version (watermarked)
19,Autostitch,Matthew Brown & David Lowe,Windows; Mac OS X; Android 4.0.3 and up[1],Proprietary,Time limited demo only,Autostitch home page,
20,Calico Panorama,Kekus,Mac only,Proprietary,$39,kekus.com,Based on Autostitch.
21,Hugin,Pablo d'Angelo et al.,"Windows, Mac, Linux, FreeBSD",GPL,Free,hugin.sf.net,Based on Panorama Tools.
22,Stitcher 4,3DVista,Windows & Mac,Proprietary,€99,[3],
23,D Joiner,"D Vision Works, Ltd.",Windows 95 or later,Proprietary,£300,d-vw.com,
24,Panorama Maker 6,"Arcsoft, Inc.",Windows XP/Vista/7; Mac OS X,Proprietary,$79.99,arcsoft.com,"Video input, 3D output"
25,Photovista Panorama,"iseemedia, inc.",Windows 98 SE or later; Mac OS 9.1 or later,Proprietary,$250,iseephotovista.com,
26,PanoramaStudio / Pro,Tobias Hüllmandel Software,Windows 2000 or later,Proprietary,€35/€70,tshsoft.de,RAW file support. Multirow stitching only with Pro version.
27,Stitcher Unlimited 2009,Autodesk,Windows Vista SP2 or later; Mac OS X 10.4.10 or later,Proprietary,$400,autodesk.com,"Export to Flash, VRML, QTVR."
28,ADG Panorama Tools / Pro,Albatross Design Group,Windows 95 or later,Proprietary,$40 / $99,albatrossdesign.com,Pro version has ability to create hot spots for virtual tours.
29,Panorama Composer 3,FirmTools,Windows 95 or later,Proprietary,$30,Panorama.FirmTools.com,"Includes Flash, ActiveX and Java based viewers for web."
30,Image Composite Editor,Microsoft,Windows Vista SP2 or later,Proprietary,Free for non-commercial use,research.microsoft.com,Video input (Windows 7+)
31,Panorama Perfect,Michal Pohanka,Windows 2000 or later,Proprietary,$29,volny.cz,
32,Photoshop CS5,Adobe Systems,Windows; Mac OS X,Proprietary,$699[2],adobe.com,
33,Photoshop CS6,Adobe Systems,Windows; Mac OS X,Proprietary,$699[3],adobe.com,Can do auto stitching
34,AIPR Lite 1,"Mayachitra, Inc.",Windows*; Mac OS X 10.6+*,Proprietary,$29.95,AIPR Lite,(*) both 32 and 64 bit versions available.
35,Gigapan Stitch 1.0,Gigapan Systems,Windows; Mac OS X 10.4 or later,Proprietary,$79,Gigapan Stitch 1.0,"Assumes images form approximate grid. Works well on large numbers of images ( hundreds, thousands )"
36,PanoramaMaker,STOIK Imaging,Windows; Mac OS X,Proprietary,€39,STOIK.com,Requires all images to be the same size
37,Montage Image Mosaic,"Caltech/IPAC, JPL, CACR, ISI",Unix,3-Clause BSD,Free,official Web site,Produces science-grade mosaics for astronomical research
38,Panorama Stitcher,"Alexander Boltnev, Olga Kacher",Mac OS X,Proprietary,$15,Panorama Stitcher,"Automatic stitching, exposure leveling. Interactive projection editor."
39,PhotoStitcher,Maxim Gapchenko,Windows; Mac OS X,Proprietary,$19.99,www.photostitcher.com,Stitch panoramic images in one click without any preferences
40,SharpStitch,Libor Tinka,Windows,Proprietary,Full: $995.00; Source code: $4995.00,www.imagingshop.com,Image alignment and stitching library for .NET
41,StitchUp,Michel Mürner,Mac OS X,Proprietary,$6.99,www.stitchup.ch,
42,Pano2VR / Pano2VR pro,Garden Gnome Software,Windows; Mac OS X; Linux,Proprietary,regular: €99; pro: €299 (+taxes),ggnome.com/pano2vr,Free trial version (watermarked)
43,Lapentor,Starfruit JSC,Windows; Mac OS X; Linux,Proprietary,$15,http://lapentor.com/,Create beautiful & professional Virtual Tour
44,Name,Developer(s),Operating system(s),License,Price,WWW,Notes
