,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,No execute (NX)page flag,No execute (NX)page flag.1,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1],Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].1,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].2,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].3,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].4,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].5
21,Solaris 10,"POSIX, RBAC, ACLs, least privilege, Trusted Extensions","chroot, Containers,[s 9] Logical Domains",IPFilter,Yes[s 10],Yes,No,0,"2October 31, 2007;12 years ago","5October 23, 2007;12 years ago","3September 10, 2009;10 years ago","2November 6, 2006;13 years ago",>0
22,OpenSolaris 2009.06,"POSIX, RBAC, ACLs, least privilege, Trusted Extensions","chroot, Containers,[s 9] Logical Domains",IPFilter,Yes[s 10],Yes,No,0,0,0,0,0,>0
23,Windows Server 2012,"ACLs, privileges, RBAC","Win32 WindowStation, desktop, job objects",Windows Firewall,Yes,Yes,Yes,0,0,0,0,0,[Unknown]
24,Windows 8.1,"ACLs, privileges, RBAC","Win32 WindowStation, desktop, job objects",Windows Firewall,Yes,Yes,Yes,0,0,0,0,"1May 30, 2014;5 years ago",[Unknown]
25,ZETA,POSIX[s 11],No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
26,"STOP 6, XTS-400[s 12]","POSIX, multilevel security, Biba Model mandatory integrity, ACLs, privileges, subtype mechanism","Multilevel security, Biba Model, subtype mechanism",No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
27,z/OS 1.11,RACF,"RACF, low storage protection, page protection, storage protect key, execution key, subspace group facility, APF, ACR (alternate CPU recovery), more",z/OS IPSecurity,Optional,"Yes (storage protect key, execution key, APF, more)",Yes,0,0,0,0,0,Unknown
28,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,Hard-ware,Emula-tion,Extremely critical(number / oldest),Highly critical(number / oldest),Moderately critical(number / oldest),Less critical(number / oldest),Not critical(number / oldest),Total(number / oldest)
29,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,No execute (NX)page flag,No execute (NX)page flag,Secunia,Secunia,Secunia,Secunia,Secunia,Security- Focus
30,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,No execute (NX)page flag,No execute (NX)page flag,Known unpatched vulnerabilities (severity is accounted for)[s 1],Known unpatched vulnerabilities (severity is accounted for)[s 1],Known unpatched vulnerabilities (severity is accounted for)[s 1],Known unpatched vulnerabilities (severity is accounted for)[s 1],Known unpatched vulnerabilities (severity is accounted for)[s 1],Known unpatched vulnerabilities (severity is accounted for)[s 1]
