11,Informix Dynamic Server[140],Static + UDT,"SMALLINT (16-bit), INT (32-bit), INT8 (64-bit proprietary), BIGINT (64-bit)","SMALLFLOAT (32-bit), FLOAT (64-bit)","DECIMAL (32 digits float/fixed), MONEY","CHAR, VARCHAR, NCHAR, NVARCHAR, LVARCHAR, CLOB, TEXT","TEXT, BYTE, BLOB, CLOB","DATE, DATETIME, INTERVAL",BOOLEAN,"SET, LIST, MULTISET, ROW, TIMESERIES, SPATIAL, GEODETIC, JSON, BSON, USER DEFINED TYPES"
12,Ingres[141],Static,"TINYINT (8-bit), SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","FLOAT4 (32-bit), FLOAT (64-bit)",DECIMAL,"C, CHAR, VARCHAR, LONG VARCHAR, NCHAR, NVARCHAR, LONG NVARCHAR, TEXT","BYTE, VARBYTE, LONG VARBYTE (BLOB)","DATE, ANSIDATE, INGRESDATE, TIME, TIMESTAMP, INTERVAL",,"MONEY, OBJECT_KEY, TABLE_KEY, USER-DEFINED DATA TYPES (via OME)"
13,Linter SQL RDBMS,Static + Dynamic (in stored procedures),"SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","REAL(32-bit), DOUBLE(64-bit)","DECIMAL, NUMERIC","CHAR, VARCHAR, NCHAR, NVARCHAR, BLOB","BYTE, VARBYTE, BLOB",DATE,BOOLEAN,"GEOMETRY, EXTFILE"
14,MariaDB[142],Static,"TINYINT (8-bit), SMALLINT (16-bit), MEDIUMINT (24-bit), INT (32-bit), BIGINT (64-bit)","FLOAT (32-bit), DOUBLE (aka REAL) (64-bit)",DECIMAL,"CHAR, BINARY, VARCHAR, VARBINARY, TEXT, TINYTEXT, MEDIUMTEXT, LONGTEXT","TINYBLOB, BLOB, MEDIUMBLOB, LONGBLOB","DATETIME, DATE, TIMESTAMP, YEAR","BIT(1), BOOLEAN (aka BOOL) = synonym for TINYINT","ENUM, SET, GIS data types (Geometry, Point, Curve, LineString, Surface, Polygon, GeometryCollection, MultiPoint, MultiCurve, MultiLineString, MultiSurface, MultiPolygon)"
15,Microsoft SQL Server[143],Static,"TINYINT, SMALLINT, INT, BIGINT","FLOAT, REAL","NUMERIC, DECIMAL, SMALLMONEY, MONEY","CHAR, VARCHAR, TEXT, NCHAR, NVARCHAR, NTEXT","BINARY, VARBINARY, IMAGE, FILESTREAM, FILETABLE","DATE, DATETIMEOFFSET, DATETIME2, SMALLDATETIME, DATETIME, TIME",BIT,"CURSOR, TIMESTAMP, HIERARCHYID, UNIQUEIDENTIFIER, SQL_VARIANT, XML, TABLE, Geometry, Geography, Custom .NET datatypes"
16,Microsoft SQL Server Compact (Embedded Database)[144],Static,"TINYINT, SMALLINT, INT, BIGINT","FLOAT, REAL","NUMERIC, DECIMAL, MONEY","NCHAR, NVARCHAR, NTEXT","BINARY, VARBINARY, IMAGE",DATETIME,BIT,"TIMESTAMP, ROWVERSION, UNIQUEIDENTIFIER, IDENTITY, ROWGUIDCOL"
17,Mimer SQL,Static,"SMALLINT, INT, BIGINT, INTEGER(n)","FLOAT, REAL, DOUBLE, FLOAT(n)","NUMERIC, DECIMAL","CHAR, VARCHAR, NCHAR, NVARCHAR, CLOB, NCLOB","BINARY, VARBINARY, BLOB","DATE, TIME, TIMESTAMP, INTERVAL",BOOLEAN,"DOMAINS, USER-DEFINED TYPES (including the pre-defined spatial data types location, latitude, longitude and coordinate)"
18,MonetDB,Static,"TINYINT, SMALLINT, INT, BIGINT","FLOAT, REAL, DOUBLE","NUMERIC, DECIMAL","VARCHAR(n),CHAR(n),CLOB",BLOB,"DATE, TIME, DATETIME, TIMESTAMP",BIT,"TIME WITH TIME ZONE TIMESTAMP WITH TIME ZONE, DAY, MONTH, YEAR, INTERVAL"
19,MySQL[135],Static,"TINYINT (8-bit), SMALLINT (16-bit), MEDIUMINT (24-bit), INT (32-bit), BIGINT (64-bit)","FLOAT (32-bit), DOUBLE (aka REAL) (64-bit)",DECIMAL,"CHAR, BINARY, VARCHAR, VARBINARY, TEXT, TINYTEXT, MEDIUMTEXT, LONGTEXT","TINYBLOB, BLOB, MEDIUMBLOB, LONGBLOB","DATETIME, DATE, TIMESTAMP, YEAR","BIT(1), BOOLEAN (aka BOOL) = synonym for TINYINT","ENUM, SET, GIS data types (Geometry, Point, Curve, LineString, Surface, Polygon, GeometryCollection, MultiPoint, MultiCurve, MultiLineString, MultiSurface, MultiPolygon)"
20,OpenLink Virtuoso[145],Static + Dynamic,"INT, INTEGER, SMALLINT","REAL, DOUBLE PRECISION, FLOAT, FLOAT'('INTNUM')'","DECIMAL, DECIMAL'('INTNUM')', DECIMAL'('INTNUM', 'INTNUM')', NUMERIC, NUMERIC'('INTNUM')', NUMERIC'('INTNUM', 'INTNUM')'","CHARACTER, CHAR'('INTNUM')', VARCHAR, VARCHAR'('INTNUM')', NVARCHAR, NVARCHAR'('INTNUM')'",BLOB,"TIMESTAMP, DATETIME, TIME, DATE",,"ANY, REFERENCE (IRI, URI), UDT (User Defined Type), GEOMETRY (BOX, BOX2D, BOX3D, BOXM, BOXZ, BOXZM, CIRCULARSTRING, COMPOUNDCURVE, CURVEPOLYGON, EMPTY, GEOMETRYCOLLECTION, GEOMETRYCOLLECTIONM, GEOMETRYCOLLECTIONZ, GEOMETRYCOLLECTIONZM, LINESTRING, LINESTRINGM, LINESTRINGZ, LINESTRINGZM, MULTICURVE, MULTILINESTRING, MULTILINESTRINGM, MULTILINESTRINGZ, MULTILINESTRINGZM, MULTIPOINT, MULTIPOINTM, MULTIPOINTZ, MULTIPOINTZM, MULTIPOLYGON, MULTIPOLYGONM, MULTIPOLYGONZ, MULTIPOLYGONZM, POINT, POINTM, POINTZ, POINTZM, POLYGON, POLYGONM, POLYGONZ, POLYGONZM, POLYLINE, POLYLINEZ, RING, RINGM, RINGZ, RINGZM)"
21,,Type system,Integer,Floating point,Decimal,String,Binary,Date/Time,Boolean,Other
22,Oracle[146],Static + Dynamic (through ANYDATA),NUMBER,"BINARY_FLOAT, BINARY_DOUBLE",NUMBER,"CHAR, VARCHAR2, CLOB, NCLOB, NVARCHAR2, NCHAR, LONG (deprecated)","BLOB, RAW, LONG RAW (deprecated), BFILE","DATE, TIMESTAMP (with/without TIMEZONE), INTERVAL",,"SPATIAL, IMAGE, AUDIO, VIDEO, DICOM, XMLType"
23,Pervasive PSQL[147],Static,"BIGINT, INTEGER, SMALLINT, TINYINT, UBIGINT, UINTEGER, USMALLINT, UTINYINT","BFLOAT4, BFLOAT8, DOUBLE, FLOAT","DECIMAL, NUMERIC, NUMERICSA, NUMERICSLB, NUMERICSLS, NUMERICSTB, NUMERICSTS","CHAR, LONGVARCHAR, VARCHAR","BINARY, LONGVARBINARY, VARBINARY","DATE, DATETIME, TIME",BIT,"CURRENCY, IDENTITY, SMALLIDENTITY, TIMESTAMP, UNIQUEIDENTIFIER"
24,Polyhedra[148],Static,"INTEGER8 (8-bit), INTEGER(16-bit), INTEGER (32-bit), INTEGER64 (64-bit)","FLOAT32 (32-bit), FLOAT (aka REAL; 64-bit)",,"VARCHAR, LARGE VARCHAR (aka CHARACTER LARGE OBJECT)",LARGE BINARY (aka BINARY LARGE OBJECT),DATETIME,BOOLEAN,
25,PostgreSQL[149],Static,"SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","REAL (32-bit), DOUBLE PRECISION (64-bit)","DECIMAL, NUMERIC","CHAR, VARCHAR, TEXT",BYTEA,"DATE, TIME (with/without TIMEZONE), TIMESTAMP (with/without TIMEZONE), INTERVAL",BOOLEAN,"ENUM, POINT, LINE, LSEG, BOX, PATH, POLYGON, CIRCLE, CIDR, INET, MACADDR, BIT, UUID, XML, JSON, JSONB, arrays, composites, ranges, custom"
26,Raima Database Manager[150],Static,"tinyint, smallint, integer, bigint","real, float, double",,"char, varchar, wchar, varwchar, long varchar, long varwchar","binary, varbinary, long varbinary","date, time, timestamp",bit,
27,RDM Server[151],Static,"tinyint, smallint, integer, bigint","real, float, double","decimal, numeric","char, varchar, wchar, varwchar, long varchar, long varwchar","binary, varbinary, long varbinary","date, time, timestamp",bit,rowid
28,SAP HANA,Static,"TINYINT, SMALLINT, INTEGER, BIGINT","SMALLDECIMAL, REAL, DOUBLE, FLOAT, FLOAT(n)",DECIMAL,"VARCHAR, NVARCHAR, ALPHANUM, SHORTTEXT","VARBINARY, BINTEXT, BLOB","DATE, TIME, SECONDDATE, TIMESTAMP",BOOLEAN,"CLOB, NCLOB, TEXT, ARRAY, ST_GEOMETRY, ST_POINT, ST_MULTIPOINT, ST_LINESTRING, ST_MULTILINESTRING, ST_POLYGON, ST_MULTIPOLYGON, ST_GEOMETRYCOLLECTION, ST_CIRCULARSTRING"
29,solidDB,Static,"TINYINT (8-bit), SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","REAL (32-bit), DOUBLE (64-bit), FLOAT (64-bit)","DECIMAL, NUMERIC (51 digits)","CHAR, VARCHAR, LONG VARCHAR, WCHAR, WVARCHAR, LONG WVARCHAR","BINARY, VARBINARY, LONG VARBINARY","DATE, TIME, TIMESTAMP",,
30,SQLite[152],Dynamic,INTEGER (64-bit),"REAL (aka FLOAT, DOUBLE) (64-bit)",,"TEXT (aka CHAR, CLOB)",BLOB,,,
31,SQream DB[153],Static,"TINYINT (8-bit), SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","REAL (32-bit), DOUBLE (aka FLOAT) (64-bit)",,"CHAR, VARCHAR, NVARCHAR",,"DATE, DATETIME (aka TIMESTAMP)",BOOL,
32,,Type system,Integer,Floating point,Decimal,String,Binary,Date/Time,Boolean,Other
33,Teradata,Static,"BYTEINT (8-bit), SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)",FLOAT (64-bit),"DECIMAL, NUMERIC (38 digits)","CHAR, VARCHAR, CLOB","BYTE, VARBYTE, BLOB","DATE, TIME, TIMESTAMP (w/wo TIMEZONE)",,"PERIOD, INTERVAL, GEOMETRY, XML, JSON, UDT (User Defined Type)"
34,UniData,Dynamic,,,,,,,,
35,UniVerse,Dynamic,,,,,,,,
36,,Type system,Integer,Floating point,Decimal,String,Binary,Date/Time,Boolean,Other
