,Name,Creator-maintainer,Based on,Standardized?,Specification,Binary?,Human-readable?,Supports references?e,Schema-IDL?,Standard APIs,Supports Zero-copy operations
12,Fast Infoset,"ISO, IEC, ITU-T",XML,Yes,ITU-T X.891 and ISO/IEC 24824-1:2007,Yes,No,"Yes(XPointer, XPath)",Yes(XML schema),"Yes(DOM, SAX, XQuery, XPath)",
13,FHIR,Health_Level_7,REST basics,Yes,Fast Healthcare Interoperability Resources,Yes,Yes,Yes,Yes,"Hapi for FHIR[1] JSON, XML, Turtle",No
14,Ion,Amazon,JSON,No,The Amazon Ion Specification,Yes,Yes,No,No,No,
15,Java serialization,Oracle Corporation,,Yes,Java Object Serialization,Yes,No,Yes,No,Yes,
16,JSON,Douglas Crockford,JavaScript syntax,Yes,"STD 90/RFC 8259(ancillary:RFC 6901,RFC 6902), ECMA-404, ISO/IEC 21778:2017","No, but see BSON, Smile, UBJSON",Yes,"Yes(JSON Pointer (RFC 6901);alternately:JSONPath, JPath, JSPON, json:select()), JSON-LD","Partial(JSON Schema Proposal, ASN.1 with JER, Kwalify, Rx, Itemscript Schema), JSON-LD","Partial(Clarinet, JSONQuery, JSONPath), JSON-LD",No
17,MessagePack,Sadayuki Furuhashi,JSON (loosely),No,MessagePack format specification,Yes,No,No,No,No,Yes
18,Netstrings,Dan Bernstein,,No,netstrings.txt,Partially(delimiters are ASCII),Yes,No,No,No,Yes
19,OGDL,Rolf Veen,?,No,Specification,Yes(Binary Specification),Yes,Yes(Path Specification),Yes(Schema WD),,
20,OPC-UA Binary,OPC Foundation,,No,opcfoundation.org,Yes,No,Yes,No,No,
21,OpenDDL,Eric Lengyel,"C, PHP",No,OpenDDL.org,No,Yes,Yes,No,Yes(OpenDDL Library),
22,Pickle (Python),Guido van Rossum,Python,De facto standard via Python Enhancement Proposals (PEPs),[4] PEP 3154 -- Pickle protocol version 4,Yes,No,No,No,Yes([5]),No
23,Property list,NeXT (creator)Apple (maintainer),?,Partial,Public DTD for XML format,Yesa,Yesb,No,?,"Cocoa, CoreFoundation, OpenStep, GnuStep",No
24,Protocol Buffers (protobuf),Google,,No,Developer Guide: Encoding,Yes,Partiald,No,Yes (built-in),"C++, C#, Java, Python, Javascript, Go",No
25,S-expressions,John McCarthy (original)Ron Rivest (internet draft),"Lisp, Netstrings",Partial(largely de facto),"""S-Expressions"" Internet Draft","Yes(""Canonical representation"")","Yes(""Advanced transport representation"")",No,No,,
26,Smile,Tatu Saloranta,JSON,No,Smile Format Specification,Yes,No,No,"Partial(JSON Schema Proposal, other JSON schemas/IDLs)","Partial(via JSON APIs implemented with Smile backend, on Jackson, Python)",
27,SOAP,W3C,XML,Yes,W3C Recommendations:SOAP/1.1SOAP/1.2,"Partial(Efficient XML Interchange, Binary XML, Fast Infoset, MTOM, XSD base64 data)",Yes,"Yes(built-in id/ref, XPointer, XPath)","Yes(WSDL, XML schema)","Yes(DOM, SAX, XQuery, XPath)",
28,Structured Data eXchange Formats,Max Wildgrube,,Yes,RFC 3072,Yes,No,No,No,,
29,Apache Thrift,Facebook (creator)Apache (maintainer),,No,Original whitepaper,Yes,Partialc,No,Yes (built-in),,
30,UBJSON,"The Buzz Media, LLC","JSON, BSON",No,[6],Yes,No,No,No,No,
31,eXternal Data Representation (XDR),Sun Microsystems (creator)IETF (maintainer),,Yes,STD 67/RFC 4506,Yes,No,Yes,Yes,Yes,
32,XML,W3C,SGML,Yes,W3C Recommendations:1.0 (Fifth Edition)1.1 (Second Edition),"Partial(Efficient XML Interchange, Binary XML, Fast Infoset, XSD base64 data)",Yes,"Yes(XPointer, XPath)","Yes(XML schema, RELAX NG)","Yes(DOM, SAX, XQuery, XPath)",
33,XML-RPC,Dave Winer[2],XML,No,XML-RPC Specification,No,Yes,No,No,No,
34,YAML,"Clark Evans,Ingy döt Net,and Oren Ben-Kiki","C, Java, Perl, Python, Ruby, Email, HTML, MIME, URI, XML, SAX, SOAP, JSON[3]",No,Version 1.2,No,Yes,Yes,"Partial(Kwalify, Rx, built-in language type-defs)",No,
35,Name,Creator-maintainer,Based on,Standardized?,Specification,Binary?,Human-readable?,Supports references?e,Schema-IDL?,Standard APIs,Supports Zero-copy operations
