,Language,Language.1,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
44,To English,Welsh to English,No,Yes,No,Yes,Yes,No,Yes,No,No,No
45,Language,Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
46,Chinese (Simplified),English to Chinese (Simplified),Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No
47,Chinese (Simplified),German to Chinese (Simplified),No,No,No,Yes,No,No,No,No,No,No
48,To Chinese (Traditional),English to Chinese (Traditional),Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
49,To Chinese (Traditional),German to Chinese (Traditional),No,No,No,Yes,No,No,No,No,No,No
50,To Dutch,English to Dutch,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes,No
51,To Dutch,French to Dutch,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
52,To French,English to French,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
53,To French,German to French,Yes,No,?,Yes,Yes,Yes,Yes,No,Yes,No
54,To French,Spanish to French,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
55,To French,Catalan to French,No,Yes,No,Yes,Yes,No,Yes,No,No,No
56,To French,Russian to French,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
57,To French,Dutch to French,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
58,To French,Italian to French,No,?,?,Yes,Yes,?,Yes,?,Yes,Yes
59,To French,Breton to French,No,Yes,No,No,Yes,No,No,No,No,No
60,To Galician,English to Galician,No,Yes,?,Yes,Yes,No,No,No,No,No
61,To Galician,Portuguese to Galician,No,Yes,No,Yes,Yes,No,No,No,No,No
62,To Galician,Spanish to Galician,No,Yes,No,Yes,Yes,No,No,No,No,No
63,To German,Chinese (Simplified) to German,No,No,No,No,No,No,No,No,No,No
64,To German,Chinese (Traditional) to German,No,No,No,No,No,No,No,No,No,No
65,To German,English to German,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
66,To German,French to German,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
67,To German,Spanish to German,No,No,No,Yes,Yes,No,Yes,No,Yes,No
68,To German,Russian to German,No,No,No,Yes,No,Yes,Yes,No,No,No
69,To German,Italian to German,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes
70,To Italian,English to Italian,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
71,To Italian,Spanish to Italian,No,No,?,Yes,Yes,?,Yes,?,Yes,Yes
72,To Italian,French to Italian,No,No,?,Yes,Yes,?,Yes,?,Yes,Yes
73,To Italian,German to Italian,Yes,No,?,Yes,Yes,?,Yes,?,Yes,Yes
74,To Japanese,English to Japanese,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
75,To Japanese,German to Japanese,No,No,No,Yes,No,No,Yes,No,No,No
76,To Korean,English to Korean,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No
77,To Portuguese,English to Portuguese,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
78,To Russian,English to Russian,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
79,To Russian,French to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
80,To Russian,Spanish to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
81,To Russian,German to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
82,To Russian,Italian to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
83,To Spanish,English to Spanish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
84,To Spanish,Russian to Spanish,No,No,No,Yes,Yes,No,Yes,No,No,No
85,To Spanish,French to Spanish,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
86,To Spanish,German to Spanish,No,No,?,Yes,Yes,No,Yes,No,Yes,No
87,To Spanish,Italian to Spanish,No,?,?,Yes,Yes,?,Yes,?,No,Yes
88,To Welsh,English to Welsh,No,No,No,Yes,Yes,No,Yes,No,No,No
89,Language,Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
90,To Arabic,English to Arabic,Yes,No,No,Yes,No,No,Yes,No,Yes,No
91,To Catalan,English to Catalan,No,Yes,?,Yes,Yes,No,Yes,No,No,No
92,To Catalan,French to Catalan,No,Yes,No,Yes,Yes,No,Yes,No,No,No
93,To Catalan,Italian to Catalan,No,Yes,No,Yes,Yes,No,Yes,No,No,No
94,To Catalan,Occitan to Catalan,No,Yes,No,Yes,Yes,No,No,No,No,No
95,To Catalan,Spanish to Catalan,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
96,To Czech,English to Czech,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
97,To Czech,German to Czech,No,No,No,Yes,Yes,No,Yes,No,No,No
98,To Danish,English to Danish,Yes,No,?,Yes,Yes,No,Yes,Yes,No,No
99,To Esperanto,Catalan to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
100,To Esperanto,Danish to Esperanto,No,No,No,Yes,Yes,No,No,Yes,No,No
101,To Esperanto,English to Esperanto,No,Yes,No,Yes,Yes,No,No,Yes,No,No
102,To Esperanto,French to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
103,To Esperanto,Spanish to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
104,To Finnish,English to Finnish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
105,To Greek,English to Greek,Yes,No,?,Yes,Yes,Yes,Yes,No,Yes,No
106,To Haitian Creole,English to Haitian Creole,No,No,No,Yes,Yes,No,Yes,No,No,No
107,To Hebrew,English to Hebrew,Yes,No,No,Yes,Yes,No,Yes,No,No,No
108,To Hindi,English to Hindi,Yes,No,No,Yes,No,No,Yes,No,No,No
109,To Hungarian,English to Hungarian,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
110,To Norwegian Bokmål,English to Norwegian Bokmål,Yes,No,?,Yes,Yes,No,No,Yes,No,No
111,To Norwegian Bokmål,Norwegian Nynorsk to Norwegian Bokmål,No,Yes,No,No,Yes,No,No,No,No,No
112,To Norwegian Nynorsk,Norwegian Bokmål to Norwegian Nynorsk,No,Yes,No,No,Yes,No,No,No,No,No
113,To Occitan,Catalan to Occitan,No,Yes,No,No,Yes,No,No,No,No,No
114,To Occitan,Spanish to Occitan,No,Yes,No,No,Yes,No,No,No,No,No
115,To Persian,English to Persian,No,No,No,Yes,No,No,Yes,No,No,No
116,To Polish,English to Polish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
117,To Polish,German to Polish,No,No,No,Yes,Yes,No,Yes,No,No,No
118,To Romanian,English to Romanian,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
119,To Serbo-Croatian,English to Serbo-Croatian,No,No,?,Yes,Yes,No,No,Yes,No,No
120,To Slovenian,English to Slovenian,Yes,No,No,Yes,Yes,No,No,No,No,No
121,To Slovenian,German to Slovenian,No,No,No,Yes,Yes,No,No,No,No,No
122,To Swedish,English to Swedish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
123,To Turkish,English to Turkish,Yes,No,No,Yes,No,No,Yes,No,Yes,No
124,To Ukrainian,English to Ukrainian,No,No,?,Yes,Yes,No,Yes,No,Yes,No
125,Total (confirmed),Total (confirmed),60,27,9,110,31,89,10,15,65,59
