,Name,Implementation Language,Active; Passive [12],Model[12],Typical input,Other input,Typical output
38,OMS.Ice – T4 Text Template Generator,C#,Active,Mixed,"T4 text template, C# or VB",C# partial classes,"Any textual output such as C#, VB, C/C++, XML, or any other plain text format"
39,OutSystems Platform,.NET,Active,Tier,User defined models based on the OutSystems visual modelling language,"Java, C#, JavaScript, HTML5, CSS",ASP.NET and JEE
40,PHPRunner,PHP/ASP/C#/VB.NET,Active,Tier,Database schema,"PHP, ASPX, HTML, CSS,","PHP, ASP, ASP.NET (Full Web application, including C#, VB.NET, PHP, ASP code, HTML, JavaScript, CSS, etc.)"
41,Pro*C,,,Inline,SQL in C,,C
42,Radarc Online,C#/Angular.js/Node.js,Active,Mixed,WYSIWYG UI/Data Layer Editor,Templates,"User Interface Layer, Services Layer, Business Logic Layer, Data Access Layer, Database, IoC, Test... (Android, iOS, Windows Phone, Windows)"
43,Reegenerator,"C#, VB.NET, XSD",Active,Mixed,User-defined Templates,"Database, XSD, XML, C# or VB.NET Code","C#, VB.NET, SQL, Any other textual language"
44,ribosome,"Ruby, JavaScript or Python",Active,Mixed,"Any format that can be read by Ruby, JavaScript or Python","Code generation script in Ruby, JavaScript or Python",any text document(s)
45,Scalagen,Scala,Passive,Tier,Database,,Scala ORM code
46,Scriptcase,"PHP, JavaScript",Active,Tier,Complete application (Web/Mobile) and build or use the database schema,"PHP, HTML,JavaScript, Ajax,","Full Web application ready to use (PHP and Javascript) with Interface layer, service layer, PHP, CSS. etc. and Database scripts to apply."
47,Spring Roo,Java,Active,Tier,Java and automatically-introspected project metadata,Shell commands,"Java (Full Web Application including Java source, AspectJ source, XML, JSP, Spring application contexts, build tools, property files, etc.)"
48,Stadium,C#,Passive&Active,Mixed,Web Application design using Stadium designer,Databases & SQL scripts,".NET solution with C# sources, Bootstrap CSS, jQuery"
49,T4,,Passive,,T4 Template/Text File,,"Any text format such as XML, XAML, C# files or just plain text files."
50,Telosys,Java,Active,Mixed,User-defined Models (DSL based on text files) and Database-Model created automatically from database schema,,"Any textual language : Java (Spring, JAX-RS, JPA, JUnit, etc), Python, C#, SQL, JavaScript (NodeJS), PHP, etc"
51,TLGen,Java,Active,Mixed,"Database schema (Oracle, MySQL, PostgreSQL), XML (domain model UML exported XML)","Import from UML domain model (XML), Import from DB","Java source classes (EJB3 persistence layer, data classes with interfaces. Session Beans, Entity Managers and Entity Bean source classes. Message Beans. Web Services (SOAP, REST). JUnit Test classes.). DB SQLs"
52,Umple,Java,Active,Tier,"Java, C++, PHP, Ruby with embedded Umple code","Pure Umple code describing associations, patterns, state machines, etc.","Java, C++, PHP, Ruby, ECcore, Umlet, Yuml, Textuml, JSON, Papyrus XMI"
53,Velocity apache,Java,Passive [16],Tier,Any code,Java,Java
54,X2X,C++,Active,Mixed,Any textual format,CSV export from Excel-Sheet,Any textual language
55,XACT X4MR,C,Passive,,"Language_A Source, Language_A-to-Language_B Transform Rules","CHILL, CMS2, FORTRAN, COBOL, JOVIAL, PASCAL, PL/1, PLM86",Compilable Language_B Source; Application_A Documentation; Application_B Documentation
56,XDocLet,,Active,Munger,JavaDoc,,EJB support beans
57,Yii2 Gii,PHP,Active,Tier,"Database schema, user input, source code",,"Skeleton application, CRUD applications"
58,ZumCoder/MDA,PHP,Passive,Mixed,"XSD, DBML, Database Schema(Mysql,SqlServer,PostegreSQL,SQLite),HTML forms,PHP class and (ZML ""ZumCoder Model Language"", a XML define structure",Templates,"Any textual language, depends upon your template code, you can write your own template to outputs the language of your preference"
