,English,Malaysian,Indonesian,Unnamed: 3
67,bus station,stesen bas,terminal bus ( frequently pronounced as terminal bis as it is derived from Dutch pronunciation of bus ),
68,bus stop,perhentian bas,"pemberhentian bus, halte bus from Dutch bushalte",
69,business,"perniagaan, bisnes","perniagaan (less commonly used), bisnis",
70,Cairo,Kaherah from Arabic Al-Qahirah,Kairo,
71,Cambodia,Kemboja,Kamboja,
72,Cameroon,Cameroon,Kamerun,
73,camp,kem,kamp (reflects Dutch pronunciation),
74,campaign,kempen,kampanye (from Dutch campagne (a French loanword)),
75,can (to be able),"boleh, dapat","bisa, dapat,",
76,cancer,"kanser, barah",kanker from Dutch,
77,capacitor,"pemuat, kapasitor","kondensator, kapasitor",
78,capital city,ibu negara,ibu kota,
79,car,"kereta (means carriage in Indonesian, commonly used as a shorthand for kereta api, which means train. Malay followed English derivation of car which was a contraction of horseless carriage)",mobil (from Dutch/mid-English automobile),
80,card,kad,kartu from Dutch kaart,
81,career,"kerjaya, karier",karier,
82,Caribbean,Caribbean,Karibia,
83,carrot,lobak merah,wortel from Dutch,
84,case,kes,"kasus, hal",
85,cash,wang tunai,"uang tunai, kas",
86,cashier,juruwang,"kasir, from Dutch kassier juru uang (rare)",
87,cavalry,pasukan berkuda,"pasukan berkuda, kavaleri",
88,cement,simen,semen,
89,censor,"tapisan (means ""filter"" in Indonesian)",sensor,
90,census,"banci (means ""transvestite"" in Indonesian)","sensus, cacah, banci (virtually never used in Indonesia, listed by KBBI)",
91,centipede,lipan,"kelabang, lipan",
92,central,pusat,"pusat, sentral, tengah",
93,chaos (theory),teori kekacauan,teori kekacauan,
94,chilli,"cili, lada ('pepper' in Indonesian), cabai (used in the northern states of Malaysia)","cabai, lombok",
95,China,China,"Tionghoa (standard term for Chinese people), Tiongkok (Republik Rakyat Tiongkok: official name of the People's Republic of China), Cina (standard, still in common use but discouraged due to racist connotations. See Shina for further information.), China (nonstandard)",
96,Christmas,"Krismas, Natal",Natal from Portuguese,
97,cinema,"panggung wayang bergambar (more popularly abbreviated as pawagam), panggung wayang",bioskop from Dutch bioscoop,
98,circuit,litar,sirkuit,
99,city,"bandar, bandaraya (big city), kota","kota, bandar (a coastal or port city in Indonesian)",
100,civil,"awam (In Indonesian, it means ""non-expert""), sivil",sipil,
101,claim,"tuntutan (means ""sue"" in Indonesian)",klaim,
102,clarification,"klarifikasi, penjelasan, penjernihan (to make something, e.g. water, clear in Indonesian)","klarifikasi, penjelasan",
103,clause (legal),fasal (equivalent term in Indonesian is pasal),"ayat, klausul",
104,club (association),kelab,"klub, perkumpulan infrequent",
105,coach (carriage),koc,gerbong,
106,coat,kot,jas from Dutch jas,
107,cockroach,lipas,"lipas, kecoa from the Chinese Min Nan ka chuah",
108,coin,syiling from English shilling,keping,
109,college,"kolej, maktab","kampus, kolese, kolegium",
110,Cologne,Cologne,"Köln, Koeln",
111,Colombia,Colombia,Kolombia,
112,comment,"ulasan, komen","ulasan (can also mean review, interpretation or comment), komentar (from Dutch commentaar)",
113,commission,suruhanjaya,komisi (from Dutch commissie),
114,commissioner,pesuruhjaya,"komisaris (from Dutch commissaris),komisioner",
115,committee,jawatankuasa,komite panitia,
116,commonwealth,komanwel,persemakmuran,
117,Comoros,Comoros,Komoro,
118,company,syarikat,"perusahaan, firma, maskapai (from Dutch maatschappij – almost exclusively used to refer to airline companies, i.e. maskapai penerbangan)",
119,compiler,penyusun,"penyusun, kompilator",
120,complaint,aduan,"aduan, keluhan, komplain",
121,conclusion,kesimpulan; konklusi (rare),"kesimpulan, konklusi (from Dutch conclusie)",
122,condensation,"pemeluwapan, pengembunan, pencecairan","kondensasi (from Dutch condensatie), pengembunan",
123,conference,persidangan,"konferensi (from Dutch conferentie), sidang",
124,confirmation,pengesahan,"konfirmasi, pengesahan of a document, kepastian of a decision",
125,conflict,pertikaian,"konflik, pertentangan, pertikaian",
126,Congo,Congo,Kongo,
127,conservation (movement),"pemuliharaan, konservasi (rare)","konservasi, pelestarian (of animals and plants)",
128,constitution of a country,perlembagaan,"undang-undang dasar (influenced by Dutch grondwet (""basic law"")), konstitusi (from Dutch constitutie)",
129,construction,pembinaan,"pembangunan (of building), pembinaan (of moral), konstruksi (from Dutch constructie)",
130,consumption,perbelanjaan,"konsumsi (from Dutch consumptie), pemakaian, penggunaan",
131,contamination,pencemaran,"pencemaran, kontaminasi",
132,continuous,selanjar,"berkesinambungan, berlanjut, kontinu",
133,conversion,"penukaran (means ""exchange"" in Indonesia)","konversi (from Dutch conversie), perubahan",
134,corporation,perbadanan,"korporasi (from Dutch corporatie), badan usaha, perusahaan",
135,corruption,"rasuah, korupsi (rare)","korupsi (from Dutch corruptie), rasuah (non-standard)",
136,Costa Rica,Costa Rica,Kosta Rika,
137,counter,kaunter,"loket from Dutch, konter/kaunter non-standard",
138,country,negara,"negara, negeri in Malaysia, negeri usually refers to a state within a federation",
139,court,mahkamah,"pengadilan, mahkamah",
140,cracker,keropok,kerupuk,
141,criminal,jenayah,"penjahat, kriminal, ahli pidana (ahli pidana is criminal law expert)",
142,Croatia,Croatia,Kroasia,
143,crucial,genting,"krusial, penting, genting",
144,Cuba,Cuba,Kuba,
145,cupboard,almari (from Portuguese armário),lemari also from armário,
146,"current (adjective, of time)",semasa,"saat ini, kini, terkini, aktual (from Dutch actueel)",
147,current affairs,hal ehwal semasa,"aktualitas, peristiwa terkini",
148,curtain,"langsir (means train wagon arrangement in Indonesian), tirai","tirai (used for all meanings apart from house curtain), gorden (of a house; from Dutch gordijn)",
149,customs (authority),kastam,"pabean refers to the administrative institution, bea dan cukai (bea-cukai) lit. tariff-and-tax, duty",
150,cute,comel,"imut, menggemaskan, lucu",
151,Cyprus,Cyprus,Siprus,
152,Czech Republic,Republik Czech,(Republik) Ceko,
153,dandruff,kelemumur,ketombe,
154,December,Disember,Desember (influenced by Dutch december),
155,decimal,perpuluhan (means tithe in Indonesian),"desimal (from Dutch decimale), persepuluhan (rare)",
156,decree,dekri,"surat keputusan, dekrit (from Dutch decreet)",
157,degree (of temperature),darjah,derajat,
158,"delicious, tasty","lazat, sedap, enak","lezat, enak, sedap",
159,democratic,demokratik,"demokratis (from Dutch demokratisch note: ""democratic republic"" (in country names) translates as republik demokratik, such as in Republik Demokratik Kongo (Democratic Republic of the Congo))",
160,department,jabatan ('occupation' in Indonesian),"departemen, jurusan (for department in university)",
161,departure,pelepasan,"keberangkatan, kepergian",
162,depression (psychological),"kemurungan (means ""sadness"" in Indonesian)",depresi (from Dutch depressie),
163,deputy,timbalan,"wakil, deputi, timbalan (rare)",
164,design,reka bentuk,"desain, kerangka bentuk, rancangan",
165,detail,terperinci,"detail, detil (nonstandard), perincian, rinci (nonstandard)",
166,dialect,loghat,"dialek, logat",
167,detection,pengesana,"pelacakan, deteksi",
168,different – difference,"beza, berbeza – perbezaan","beda, berbeda – perbedaan",
169,diocese,"kawasan uskup, keuskupan",keuskupan,
170,director,pengarah,"direktur from Dutch (and French) directeur, sutradara (of a film) from Sanskrit (through Javanese), pengarah (for an event)",
171,discount,"diskaun, rebat, potongan harga","diskon, rabat, potongan harga, korting from Dutch, less frequent",
172,discussion,"perbincangan, diskusi","pembicaraan, perbincangan, diskusi (from Dutch discussie)",
173,disinfectant,penyahjangkit,"disinfektan, sucihama",
174,domestic,dalam negara,"dalam negeri, domestik",
175,driver,pemandumeans guide in Indonesian,"sopir from French chauffeur through Dutch, pengemudi formal",
176,driver's license (U.S.) driving licence (UK),lesen memandu,surat izin mengemudi (SIM),
177,drugs (illegal),"dadah (colloquial use in Indonesia means ""goodbye"")","narkoba (an acronym for NARKotika dan OBat-obatan terlArang (narcotics and illegal drugs)), NAPZA (less frequent – an acronym for NArkotika, Psikotropika dan Zat-zat Adiktif (narcotics, psychotropics, and addictive chemical substances))",
178,Dutch East Indies,Hindia Timur Belanda,Hindia-Belanda,
179,duty (economics),"duti, cukai","bea, cukai",
180,e-mail,e-mel,"surel (standard, shortened of surat elektronik (electronic mail)), email (rarely used in everyday spelling, often used in online spelling (e.g. website-based registration or social account))",
181,Easter,"Easter, Paskah strictly used for Jewish Passover",Paskah from Portuguese Pascoa,
182,Ecuador,Ecuador,Ekuador,
183,editor,penyunting,"editor, penyunting, redaktur (from French rédacteur through Dutch – refers to editors of mass printed media)",
184,editorial (board),kakitangan editorial,"redaksi (from Dutch redactie),editorial",
185,effectiveness,keberkesanan,"keampuhan, keefektifan, efektivitas (from Dutch effectiviteit)",
186,efficiency,kecekapan,"efisiensi, kedayagunaan, kemangkusan",
187,Eid ul-Fitr,Hari Raya Aidilfitri,"Hari Raya Idulfitri – Idul Fitri nonstandard spelling, but common, Lebaran colloquial – from Javanese",
188,eight,lapan used as colloquial abbreviation in Indonesian,delapan used in Malaysia before the spelling reform,
189,elasticity (economy),keanjalan,"bingkas, elastisitas",
190,electricity,tenaga elektrik lit. electric energy,"listrik, kelistrikan, setrum (from Dutch stroom)",
191,embargo (political),"sekatan (means ""obstacle"" or ""room which separated with partition"" in Indonesian)","boikot, embargo",
192,emergency,"kecemasan (used for anxiety or ""too anxious"" (condition) in Indonesian)","darurat (from Arabic – also used in Malaysia to express a state of emergency), kegawatan",
193,emperor,maharaja,"kaisar (from Dutch keizer), maharaja (from Sanskrit)",
194,empire,empayar,"kekaisaran, imperium",
195,enamel,enamel,email (from Dutch emaille),
196,energy,tenaga,"energi, tenaga (for ""power"")",
197,engine,enjin,"mesin, motor",
198,England,negeri Inggeris,Inggris,
199,eraser,getah pemadam,penghapus,
200,erosion,hakisan,"pengikisan, erosi (from Dutch erosie)",
201,escalator,tangga gerak,"tangga berjalan, eskalator",
202,estimation,"jangkaan, anggaran","perkiraan, dugaan, estimasi",
203,Ethiopia,Habsyah from Arabic الحبشة al-habsha (Abyssinia),Etiopia,
204,Europe,Eropah,"Eropa, Europa (nonstandard)",
205,evacuation,"pemindahan (means ""translocation"" or ""relocation"" in Indonesian)","pengungsian, evakuasi (from Dutch evacuatie)",
206,evaluation,penilaian,"penilaian, evaluasi (from Dutch evaluatie)",
207,evening,teja,sore petang,
208,excess,lebihan,"kelebihan, berlebihan, ekses",
209,excretion,perkumuhan,"ekskresi, pembuangan kotoran",
210,execution (death sentence),hukuman mati,"eksekusi (from Dutch executie), (peng)hukuman mati",
211,exhaust (pipe),ekzos,"knalpot (from Dutch, in which it also means ""muffler"")",
212,exploration,"penjelajahan, eksplorasi","eksplorasi, penjelajahan",
213,export,eksport,ekspor,
214,expose,pendedahan,"paparan, ekspos, pendedahan (virtually never used in Indonesia, listed by KBBI)",
215,extinct,pupus,"padam (of flame or light), punah (of species), pupus (loss of hope)",
216,faculty,fakulti,"fakultas, fakulteit (obsolete, from Dutch)",
217,facility,"kemudahan, fasiliti","kemudahan, fasilitas",
218,faction (politics),puak,"faksi, fraksi from Dutch fractie",
219,factory,kilang ('refinery' in Indonesian),pabrik from Dutch fabriek,
220,fan (fanatic),peminat,"penggemar, fans informal, from English; Indonesians always use the plural form",
221,federal,persekutuan,federal,
222,federation,"persekutuan (related to ""alliance"" in Indonesian)","federasi from Dutch federatie, serikat",
223,fermentation,"fermentasi, peragian","fermentasi, peragian, penapaian",
224,financial,kewangan,"keuangan, finansial from Dutch financieel",
225,Finland,Finland,Finlandia,
226,firefighter squad,bomba,"pemadam kebakaran (lit. fire extinguisher), branwir (from Dutch brandweer (fire defense))",
227,flash drive,pemacu kilat,penggerak kilat,
228,"floor, level (storey)","tingkat may be used in Indonesian to express the number of storeys/levels a building has, e.g. a 5-storey building = gedung bertingkat 5, or to emphasize British floor numbering, e.g. tingkat satu means first floor (UK), second floor (US) in both languages, aras (used to emphasize American floor numbering, e.g. aras dua = tingkat satu","lantai also refers to floor as ground surface in both languages, emphasizes American floor numbering, tingkat emphasizes British floor numbering, e.g. lantai dua = tingkat satu",
229,football,bola sepak,sepakbola,
230,force (physics),daya,gaya,
231,form (document),borang,"formulir from Dutch formulier, borang (nonstandard)",
232,free (of charge),"percuma means ""worthless"" in Indonesian","gratis from Dutch, cuma-cuma, cecuma (nonstandard)",
233,fungus,"kulat, fungus",fungi,
234,furniture,"perabot rumah, perkakas rumah (In Indonesian, perkakas means equipment)","mebel from Dutch meubelen, perabot rumah tangga, furnitur",
235,fusion,pelakuran,"fusi, penggabungan, peleburan",
236,gangster,samseng,"geng, preman from Dutch vrijman (lit. free-man), gangster from English",
237,garage,garaj,garasi influenced by Dutch pronunciation,
238,garrison,garrison,garnisun from Dutch garnizoen,
239,gear,gear,"roda gigi influenced by Dutch tandwiel, lit. ""tooth wheel""",
240,gearbox,kotak gear,"persneling from Dutch versnelling, girboks, transmisi",
241,general (military),jeneral,jenderal from Dutch generaal,
242,ginger,halia,jahe,
243,Global Positioning System,Sistem Kedudukan Sejagat,Sistem Pemosisian Global,
244,goal keeper,penjaga gol/penjaga gawang,"kiper, penjaga gawang",
245,golf club (stick),kayu golf,"stik golf, pemukul golf, tongkat golf",
246,government,"kerajaan derived from raja (king) – used in Malaysia and Brunei – in Indonesian means ""kingdom""","pemerintah derived from perintah (order/instruction) – also used in Singapore, which, like Indonesia, is a republic",
247,governor,"gabenor, Yang di-Pertua Negeri (in Malaysian states)",gubernur from Dutch gouverneur,
248,gradation,pemeringkatan,"gradasi, pemberian tingkat (pemeringkatan)",
249,graduate,"siswazah, sarjana","lulusan, sarjana",
250,grandfather,datuk,kakek,
251,Greece,"Greece of recent use, Yunani",Yunani from Arabic Yūnān يُونَان,
252,gross financial,kasar,"bruto from Dutch, kasar",
253,group,"sekumpulan, kumpulan","kelompok, grup from Dutch pronunciation of groep, (per)kumpulan, (per)himpunan",
254,guarantee,jaminan,"jaminan, garansi from Dutch pronunciation of garantie",
255,half past one,pukul satu setengah (one thirty),pukul setengah dua (thirty to two),
256,hammer,tukul,"palu, martil from Portugue martelo",
257,Handball,bola baling,bola tangan,
258,head office,"ibu pejabat ""ibu"" also means ""mother"" or ""ma'am"" in both languages","kantor pusat ""kantor"" – from Dutch kantoor (office)",
259,"headscarf, hijab",tudung,"kerudung, jilbab though these words have different meanings",
260,healthy,sihat,sehat,
261,herb,herba,"jamu often understood as traditional potion made from rhizomes, also means ""guest"" (""tamu"") and ""treat the guest"" (""menjamu""), herbal",
262,hexadecimal,perenambelasan,heksadesimal,
263,hospital,hospital,"rumah sakit influenced by Dutch ziekenhuis (""house of the sick"") – This term is still used in Brunei, but in Malaysia, ""hospital"" has replaced the term completely since the 1960s",
264,Hungary,Hungary,"Hungaria, Hongaria substandard, influenced by Dutch Hongarije",
265,hybrid (biology),kacukan hibrid,hibrida,
266,I,"saya, aku","saya, aku, gue/gua (slang; from Chinese dialects ""ua"")",
267,ice,ais,es,
268,Iceland,Iceland,Islandia,
269,image,"citra, imej (of reputation), gambar (pictorial image)","citra (of reputation), gambar (pictorial image)",
270,imagination,imaginasi,"imajinasi, khayalan",
271,immigration,imigresen,imigrasi from Dutch immigratie,
272,import,import,impor,
273,impotence,"mati pucuk, impotensi, lemah syahwat","impotensi from Dutch impotentie, lemah syahwat colloquial",
274,impotent,kemandulan,"impotensi, kemandulan",
275,incineration,penunuan,insinerasi,
276,Indian Ocean,Lautan Hindi,Samudra Hindia,
277,inductor,"peraruh, induktor (rare)",induktor,
278,information,maklumat,"informasi, from Dutch informatie, penerangan rare",
279,injection (noun),suntikan,"suntikan, injeksi",
280,ink,dakwat from Arabic,"tinta from Dutch tinte, dawat (archaic)",
281,installment (payment),ansuran,"angsuran, cicilan",
282,instant,"segera (means ""soon"" in Indonesia)","seketika, instan",
283,insurance,insurans,asuransi from Dutch assurantie,
284,intelligence (spying),risikan (means 'secret investigation' in Indonesia),"intelijen, tilik sandi",
285,international,antarabangsa,"internasional, mancanegara from Javanese meaning: foreign land)",
286,internet café,"kafe internet, kafe cyber","warnet a portmanteau for ""warung internet"" (lit. internet shop)",
287,intervention,"campur tangan, intervensi","campur tangan, intervensi",
288,introspection,"kaji diri, introspeksi (rare)","introspeksi, mawas diri",
289,invasion,"penyerangan, penjajahan (means colonialism in Indonesian), invasi",invasi,
290,investment,pelaburan,"investasi, penanaman modal",
291,Iraq,Iraq,Irak,
292,Ireland,Ireland,Irlandia,
293,irrigation,pengairan,"irigasi, pengairan",
294,Italy,Itali,Italia from Italian,
295,Japan,Jepun from Portuguese Japão,"Jepang, Jepun (archaic)",
296,Jordan (country),Jordan,Yordania from Dutch Jordanië,
297,journalist,wartawan,"wartawan, jurnalis",
298,July,Julai,Juli from Dutch juli,
299,June,Jun,Juni from Dutch juni,
300,ketchup,"kicap (Indonesian equivalent, kecap, means soy sauce)",saus tomat from French sauce tomate,
301,lane,lorong (means alley in Indonesian),lajur,
302,lawyer,peguam,"advokat from Dutch advocaat, pengacara (means 'master of ceremonies' in Malay)",
303,Lebanon,Lubnan from Arabic,"Lebanon, Libanon influenced by Dutch",
304,legislative,"perundangan (In Indonesian, it means legislation), legislatif",legislatif,
305,liability,liabiliti,kewajiban,
306,licence,lesen,"izin, lisensi from Dutch licentie",
307,lieutenant,leftenan (influenced by British English pronunciation),letnan,
308,"lift, elevator",lif,lift,
309,liquidity (economy),kecairan,likuiditas,
310,Lisbon,Lisbon,"Lisboa from Portuguese, Lisabon influenced by Dutch Lissabon",
311,list,senarai,"daftar, senarai less common",
312,local,tempatan,"lokal, setempat",
313,Luxembourg,Luxembourg,Luksemburg influenced by Dutch/German Luxemburg,
314,Macau,Macau,Makau,
315,"Macedonia, Republic of",Republik Macedonia,Republik Makedonia,
316,magistrate,majistret,"hakim from Arabic حَكِم – used in Malaysian to refer to judges, magistrat less common",
317,Maldives,Maldives,Maladewa,
318,male,"lelaki, laki-laki, jantan (for animals, depending on the context, it can mean masculine or used as a derogatory term on men)","laki-laki, pria, lelaki, jantan (on animals, used on men to describe masculinity)",
319,malfunction,"kerosakan, malfungsi, pincang tugas","kerusakan, malafungsi",
320,malpractice,"penyelewengan (means ""misappropriation"" in Indonesian)",malapraktik,
321,management,pengurusan,"manajemen, pengurusan (rare)",
322,manager,pengurus,"manajer, pengurus",
323,manufacturing,pengilangan,manufaktur,
324,March (month),Mac,Maret influenced by Dutch maart,
325,mass,jisim,massa,
326,mathematics,"matematik, ilmu hisab","matematika, ilmu hitung, ilmu hisab only used in Islamic text books",
327,matter,jirim,materi,
328,mattress,tilam,"kasur, matras, tilam",
329,mean (verb),bererti,berarti,
330,mediation,"pengantaraan (In Indonesian, it means ""broking"")",mediasi,
331,medicine,ubat,obat,
332,memory card,kad ingatan/kad memori,kartu memori,
333,mental arithmetic,congak,"aritmetika cepat, congak",
334,Mexico,Mexico,Meksiko,
335,mile,"batu (means ""stone"" in Indonesian, from Sanskrit)",mil,
336,military,"tentera, ketenteraan, militari","militer (from French militaire through Dutch militair), kemiliteran, ketentaraan",
337,minibus,bas mini,"bis mini, minibus",
338,minute,minit,menit,
339,"mobile phone, cellphone",telefon bimbit,"telepon seluler (ponsel), telepon genggam",
340,Monaco,Monaco,Monako,
341,Monday,Isnin,Senin,
342,money,"wang, duit","uang, duit (colloquial)",
343,Morocco,Maghribi from Arabic,Maroko,
344,mortgage,gadai janji,"hipotek from Dutch hypotheek, gadai",
345,Moscow,Moscow,"Moskwa, Moskow",
346,motorcycle,motosikal,"sepeda motor lit. ""motorized bicycle"" – influenced by Dutch motorfiets, motor (informal)",
347,Mozambique,Mozambique,Mozambik,
348,Mrs.,Puan,"Ibu, Nyonya (Ny.)",
349,music,muzik,musik,
350,naked,"bogel, telanjang","telanjang, bugil (colloquial)",
351,natural,semulajadi,"alami, natural",
352,navigation,"pandu arah, navigasi",navigasi,
353,navy,tentera laut,angkatan laut,
354,negotiation,perundingan,"perundingan, negosiasi",
355,network,rangkaian (means circuit in Indonesian),"jaringan, jejaring",
356,New Zealand,New Zealand,Selandia Baru,
357,newspaper,"surat khabar coined from two Arabic words: ṣūrat – صورة / صورت (form, appearance) and khabar خبر (news)","surat kabar (more formal – lit. news letter), koran (from French courant through Dutch, Krant in modern Dutch, but Koerant in Afrikaans)",
358,Nicosia,Nicosia,Nikosia,
359,nil,nil,nol from Dutch nul,
360,noisy,"bising, kecoh in Indonesian means ""disturb"" or ""distract"", memekak","berisik, ribut, ramai, bising",
361,Norway,Norway,Norwegia,
362,number,nombor,"angka, nomor – nomer substandard spelling from Dutch/German nummer",
363,nurse,jururawat,"perawat, suster from Dutch zuster, only for female nurse",
364,ocean,lautan,"samudra, lautan rarely used in formal situation",
365,Oceania,Oceania,Oseania,
366,octal,perlapanan,oktal,
367,office,pejabat,kantor (from Dutch kantoor),
368,officer,"pegawai, kaki tangan (a negative connotation usually means accomplice in criminal activity in Indonesian)",pejabat,
369,official (adj.),rasmi (from Arabo-Persian rasmi رَسمِي),resmi (also from rasmi),
370,Olympic,Olimpik,Olimpiade,
371,opposition,"pembangkang (means ""defiance"" in Indonesian)",oposisi,
372,option,"pilihan, opsyen (rare)","pilihan, opsi",
373,orange (colour),"jingga, oren","jingga, oranye (from Dutch oranje)",
374,orange (fruit),"oren, limau","jeruk, limau",
375,order (instruction),"order, perintah",perintah,
376,organization,"pertubuhan, organisasi",organisasi,
377,oscillation,ayunan,"osilasi, ayunan",
378,oven,ketuhar,oven,
379,Pacific Ocean,"Lautan Pasifik, Lautan Teduh",Samudra Pasifik,
380,Palestine,Palestin,Palestina,
381,papaya (fruit),(buah) betik,(buah) pepaya,
382,Papua New Guinea,Papua New Guinea,Papua Nugini,
383,parallel,selari,paralel,
384,parliament,parlimen,parlemen (from Franco-Dutch parlement),
385,party (political),parti,partai (from Dutch partij),
386,passport,pasport,paspor,
387,patient,pesakitmeans convict in Indonesian,pasien,
388,patrol,ronda,"patroli (for police and military) (from Dutch patrolie), ronda (for civilian)",
389,"pavement, sidewalk","jalan pinggir, jalur jalan untuk pejalan kaki, laluan jalan kaki, kaki lima (In Indonesia, it is used in pedagang kaki lima (street vendor))",trotoar (from Franco-Dutch trottoir),
390,penis,"zakar from Arabic ذَكَر ""male""- this word is extremely vulgar in Indonesian, ""buah zakar"" means testicles, batang lelaki, konek (slang)","penis (formal), zakar from Arabic, less frequent, pelir, alat kelamin laki-laki (euphemism), kemaluan lelaki (euphemism), burung (vulgar), titit (children's slang like ""pee-pee""), kontol (slang, extremely vulgar)",
391,percent,peratus,"persen, perseratus (less common, usually used when compared per mille)",
392,perfume,"haruman, minyak wangi","parfum from Dutch, minyak wangi",
393,periodic,berkala,"berkala, periodik",
394,Persia,Parsi,Persia,
395,pharmacy,farmasi,"apotek (from Dutch apotheek), farmasi (usually for medicine manufacturers)",
396,photograph,"gambar (In Indonesian, it means ""picture"" or ""figure""), foto",foto (lit. photo) potret,
397,physics,"fizik (Indonesian equivalent term, fisik, is used for term physical, e.g. aktivitas fisik [physical activity])",fisika,
398,pickpocket noun,penyeluk saku,"copet (portmanteau of colong dompet, ""wallet thief""), pencopet",
399,"pig, swine",khinzir from Arabic خِنْزِير (khin-zeer),babi,
400,pipe,paip,pipa,
401,pirate (maritime),lanun,"bajak laut, perompak (perompak in Malay, means ""robber""), lanun (archaic)",
402,platform (train),platform,peron from Dutch perron,
403,Poland,Poland,Polandia,
404,police,"polis (means ""insurance policy"" (polis asuransi) in Indonesian)",polisi from Dutch politie,
405,pollution,pencemaran,"pencemaran, polusi",
406,portion,sebahagian,"porsi, sebagian (a portion of...)",
407,post code,poskod,kode pos,
