,Afrikaans,Dutch,English
55,hospitaal,"ziekenhuis, hospitaal, gasthuis",hospital
56,hysbak,lift,"lift, elevator"
57,inskrywing,"abonnement, inschrijving",subscription
58,jol,leukheid,"fun, party"
59,Julie,juli,July
60,Junie,juni,June
61,kaartjie,"ticket (kaartje also used in compounds (e.g., treinkaartje, buskaartje, etc.)",ticket
62,kameelperd,giraffe,giraffe
63,kampanje,campagne similar pronunciation,campaign
64,Kanada,Canada,Canada
65,Kersfees,Kerstmis (Catholic) Kerstfeest (Protestant),Christmas
66,kitsbank,"geldautomaat, bankautomaat","cash machine, ATM"
67,koerant,krant courant older term,newspaper
68,kombuis,"keuken kombuis means ""galley"".",kitchen
69,konserwatief,conservatief,conservative
70,kopiereg,"kopierecht, copyright, auteursrecht",copyright
71,landdros,magistraat,magistrate
72,lê,leggen,"lie, lay"
73,leër,"landmacht, leger",army
74,lemmetjie,limoen,lime
75,lemoen,sinaasappel,orange
76,Lid van Parlement (LP),"parlementslid, kamerlid",Member of Parliament (MP)
77,lirieke,songtekst,lyrics
78,lokprent,trailer,film trailer
79,lugmag,luchtmacht,air force
80,lughawe,luchthaven,airport
81,lugpos,luchtpost,airmail
82,lugredery,luchtvaartmaatschappij,airline
83,lugwardin,stewardess,air hostess air stewardess
84,maalvleis,gehakt,mincemeat
85,mal oor,gek op,mad about
86,masjienkap,motorkap,bonnet (UK) hood (US)
87,meisie,"meisje, meid",girl
88,mekaar,elkaar (mekaar also used in Belgium),each other
89,melkskommel,milkshake,milkshake
90,moffie,homo,"gay, effeminate man"
91,moltrein,metro,"metro, subway train"
92,moontlik,mogelijk,possible
93,muurpapier,behang,wallpaper
94,na,naar,to
95,ná,na,after
96,naby,"dichtbij, nabij",close to
97,naweek,"weekend, weekeinde",weekend
98,nie,niet,not
99,niggie,nichtje,niece
100,Nieu-Seeland,Nieuw-Zeeland,New Zealand
101,nuus,nieuws,news
102,"nuusblad, nuustydskrif","opinieblad, nieuwsblad","news magazine, news letter"
103,onderskrifte,ondertitels,subtitles
104,oomblik,"moment, ogenblik",moment
105,"oopmaak, maak oop",openen,to open
106,oorklanking,nasynchronisatie,dubbing
107,oorspronklik,"origineel, oorspronkelijk",original
108,oos,oost,east
109,openbare maatskappy,naamloze vennootschap (NV),public limited company
110,"ou, outjie","kerel, gozer","guy, bloke"
111,outomaties,automatisch,automatic
112,padda,"kikker pad means ""toad""",frog
113,passasier,passagier,passenger
114,perd,paard,horse
115,peuselhappies,"snacks, hapjes",snacks
116,piesang,banaan less common: pisang,banana
117,pikkewyn,"pinguïn, vetgans",penguin
118,polisiebeampte,politieagent,police officer
119,"polisiestasie, polisiekantoor",politiebureau,police station
120,posbus,postbus,post office box
121,poskantoor,postkantoor,post office
122,posman,postbode,postman
123,prokureur,advocaat,"attorney, solicitor, lawyer"
124,pynappel,ananas,pineapple
125,"reisagent, reisagentskap","reisbureau (Netherlands)reisagentschap (Belgium), reisagent","travel agent, travel agency"
126,rolprent,film rolprent considered dated,film
127,rubriekskrywer,columnist,newspaper columnist
128,sakrekenaar,"rekenmachine, zakrekenmachine, calculator",calculator
129,sambreel,paraplu,umbrella
130,sampioen,champignon,mushroom
131,saans,'s avonds,in the evening
132,sê,zeggen,say
133,selfoon,"mobiele telefoon, mobieltje (Netherlands)GSM (Belgium)","mobile phone(UK) cellphone(US, South Africa)"
134,sent,cent,cent
135,seuntjie,"jongen zoontje means ""(small) son""","boy, young man"
136,sinies,cynisch,cynical
137,sjokolade,chocolade,chocolate
138,"skadu, skaduwee","schaduw, schaduwbeeld",shadow
139,skakel,"bellen (schakelen means ""to change gear"")","dial, call (telephone number)"
140,skeelhoofpyn,migraine,migraine
141,skootrekenaar,laptop,laptop
142,slagoffer,slachtoffer,victim
143,slaptjips,frieten,"french fries, chips"
144,sokker,voetbal,"football, soccer"
145,soos,"als, zoals","like, such as"
146,spinnekop,spin,spider
147,spoed,snelheid,speed
148,staatsdiens,civiele dienst (Netherlands) overheidsdienst (Belgium),"civil service, public service"
149,stasie,station,station
150,Statebond,Gemenebest van Naties,Commonwealth of Nations
151,stasiewa,stationwagen,"station wagon, estate"
152,streek,"gewest, regio",region
153,stuurwiel,stuurrad,steering wheel
154,suid,zuid,south
155,suiwer,zuiver,clean
156,suurlemoen,citroen,lemon
157,sypaadjie,"stoep, trottoir, voetpad","pavement (UK), sidewalk (US)"
158,tjek,cheque,"cheque, check"
159,toeter,claxon,"hooter (UK), horn (US)"
160,troeteldier,huisdier,pet (animal)
161,tuisblad,"homepagina, thuispagina",homepage
162,uitgawe,"editie, versie, uitgaveuitgaven can also mean ""expenditure""","edition, version"
163,uitsaai,"omroep, uitzending",broadcasting
164,uurglas,zandloper,hourglass
165,van,"achternaam, van",surname
166,vanaand,vanavond,this evening
167,vanmôre,vanmorgen,this morning
168,vat,pakken,"seize, clutch"
169,verkleurmannetjie,kameleon,chameleon
170,vir,voor,for
171,"vlak, peil","niveau, peil",level
172,"vlugbeampte, vlugkelner",steward,"air steward, flight attendant"
173,voetsek! (voert sê ek!),verdwijn!,get lost! away with you!
174,vrieskas,"vrieskist, diepvries, diepvriezer",freezer
175,vuurhoutjie,lucifer,"match, light"
176,wa,wagen,wagon
177,wasbak,"wasbak, wastafel","washbasin, sink"
178,wat,"welke, wie","which, who"
179,webwerf,website,website
180,weermag,krijgsmacht,"defence force, armed forces"
181,wêreldwyd,wereldwijd,worldwide
182,wees,"zijn, wezen",to be
183,wes,west,west
184,woonstel,appartement,"apartment, flat"
185,yskas,"koelkast, ijskast",refrigerator
186,Ysland,IJsland,Iceland
187,yster,ijzer,iron
